Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
547.7580,4.9985,284.7667,1423.4138

548.7580,4.9990,284.7669,1423.5409

549.7580,4.9985,284.7688,1423.4031

550.7590,4.9981,284.7699,1423.3125

551.7580,4.9983,284.7727,1423.3857

552.7580,4.9982,284.7727,1423.3474

553.7580,4.9987,284.7729,1423.4813

554.7580,4.9982,284.7729,1423.3385

555.7580,4.9980,284.7749,1423.3096

556.7580,4.9980,284.7765,1423.3078

557.7580,4.9979,284.7772,1423.2936

558.7590,4.9980,284.7781,1423.3099

559.7590,4.9980,284.7782,1423.3287

560.7580,4.9975,284.7785,1423.1854

561.7580,4.9980,284.7812,1423.3400

562.7580,4.9977,284.7835,1423.2577

563.7580,4.9979,284.7840,1423.3115

564.7580,4.9977,284.7835,1423.2599

565.7580,4.9978,284.7848,1423.2908

566.7580,4.9974,284.7854,1423.1865

567.7580,4.9975,284.7869,1423.2355

568.7580,4.9973,284.7886,1423.1804

569.7580,4.9974,284.7882,1423.1878

570.7580,4.9970,284.7905,1423.1086

571.7580,4.9974,284.7910,1423.2137

572.7580,4.9970,284.7926,1423.1167

573.7580,4.9970,284.7940,1423.1129

574.7580,4.9970,284.7954,1423.1308

575.7580,4.9967,284.7949,1423.0434

576.7580,4.9966,284.7977,1423.0076

577.7590,4.9965,284.8001,1423.0101

578.7580,4.9964,284.8004,1422.9627

579.7580,4.9963,284.8010,1422.9465

580.7580,4.9963,284.8029,1422.9648

581.7580,4.9964,284.8036,1422.9994

582.7580,4.9958,284.8048,1422.8381

583.7580,4.9961,284.8075,1422.9128

584.7580,4.9959,284.8069,1422.8782

585.7580,4.9957,284.8105,1422.8189

586.7580,4.9956,284.8119,1422.8073

587.7580,4.9954,284.8115,1422.7484

588.7590,4.9955,284.8142,1422.8031

589.7580,4.9954,284.8125,1422.7517

590.7580,4.9953,284.8138,1422.7195

591.7580,4.9951,284.8152,1422.6738

592.7580,4.9952,284.8173,1422.7159

593.7580,4.9948,284.8182,1422.6058

594.7580,4.9949,284.8212,1422.6417

595.7580,4.9948,284.8228,1422.6290

596.7580,4.9944,284.8227,1422.5205

597.7580,4.9943,284.8246,1422.4866

598.7580,4.9942,284.8264,1422.4934

599.7580,4.9941,284.8276,1422.4586

600.7580,4.9941,284.8293,1422.4634

601.7580,4.9939,284.8299,1422.4128

602.7580,4.9935,284.8325,1422.3016

603.7580,4.9939,284.8332,1422.4143

604.7580,4.9936,284.8347,1422.3582

605.7580,4.9933,284.8362,1422.2598

606.7580,4.9933,284.8373,1422.2767

607.7580,4.9935,284.8387,1422.3505

608.7580,4.9931,284.8396,1422.2347

609.7580,4.9931,284.8409,1422.2417

610.7580,4.9931,284.8413,1422.2354

611.7580,4.9934,284.8431,1422.3438

612.7580,4.9926,284.8445,1422.1103

613.7580,4.9929,284.8455,1422.2000

614.7580,4.9931,284.8452,1422.2507

615.7580,4.9929,284.8472,1422.1994

616.7580,4.9929,284.8475,1422.2081

617.7580,4.9929,284.8470,1422.2247

618.7580,4.9931,284.8482,1422.2731

619.7580,4.9925,284.8514,1422.1190

620.7580,4.9920,284.8536,1421.9806

621.7580,4.9918,284.8554,1421.9551

622.7580,4.9919,284.8567,1421.9728

623.7580,4.9919,284.8562,1421.9770

624.7580,4.9926,284.8564,1422.1815

625.7580,4.9926,284.8561,1422.1818

626.7580,4.9924,284.8579,1422.1236

627.7580,4.9924,284.8590,1422.1186

628.7580,4.9923,284.8608,1422.1054

