Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
201.2840,29.3240,28.0855,26.7328,25.6556,24.3820,29.3381,24.8754,29.5456,26.8360,29.4419,27.2424

202.2840,29.3231,28.0687,26.7292,25.6284,24.3675,29.3283,24.8638,29.5282,26.8234,29.4283,27.2297

203.2840,29.3267,28.0765,26.7267,25.6362,24.3880,29.3248,24.8706,29.5445,26.8308,29.4346,27.2368

204.2840,29.3314,28.0873,26.7332,25.6526,24.4060,29.3507,24.8460,29.5496,26.8421,29.4501,27.2446

205.2840,29.3410,28.0760,26.7299,25.6461,24.3750,29.3377,24.8602,29.5301,26.8336,29.4339,27.2370

206.2840,29.3301,28.0687,26.7396,25.6425,24.3626,29.3244,24.8637,29.5324,26.8287,29.4284,27.2330

207.2840,29.3263,28.0756,26.7328,25.6281,24.3853,29.3089,24.8621,29.5338,26.8296,29.4214,27.2316

208.2840,29.3201,28.0705,26.7187,25.6613,24.3489,29.3220,24.8636,29.5314,26.8239,29.4267,27.2296

209.2840,29.3126,28.0761,26.7304,25.6485,24.3810,29.3286,24.8839,29.5078,26.8297,29.4182,27.2336

210.2840,29.3210,28.0828,26.7574,25.6585,24.3894,29.3412,24.8613,29.5181,26.8418,29.4296,27.2412

211.2840,29.3351,28.0729,26.7377,25.6496,24.3700,29.3525,24.8704,29.5270,26.8331,29.4397,27.2394

212.2840,29.3162,28.0821,26.7426,25.6266,24.3671,29.3194,24.8644,29.5246,26.8269,29.4220,27.2304

213.2840,29.3327,28.0798,26.7271,25.6531,24.3454,29.3257,24.8602,29.5077,26.8276,29.4167,27.2290

214.2840,29.3060,28.0834,26.7128,25.6653,24.3692,29.3479,24.8573,29.5375,26.8274,29.4427,27.2349

215.2840,29.3212,28.0820,26.7416,25.6469,24.3830,29.3123,24.8558,29.5075,26.8350,29.4099,27.2313

216.2840,29.3106,28.0815,26.7255,25.6430,24.3997,29.3350,24.8629,29.5034,26.8321,29.4192,27.2327

217.2840,29.3484,28.0667,26.7244,25.6537,24.3886,29.3310,24.8598,29.5187,26.8364,29.4249,27.2364

218.2850,29.3404,28.0978,26.7248,25.6641,24.3853,29.3216,24.8636,29.5149,26.8425,29.4183,27.2391

219.2840,29.3050,28.0808,26.7366,25.6452,24.3757,29.3196,24.8626,29.5186,26.8287,29.4191,27.2305

